position,company,location,link,days_posted,date_posted,applied,date_applied,strikes,rank
Data Science Consultant National Health Plan and Hospital Quality,KAISER,"Oakland, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=409&ao=138496&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0dcfc152&cb=1528288988110&jobListingId=2799439760,0.0,06-11-2018,No,,1.0,8.0
Data Science/Advanced Analytics Consultant,Slalom LLC.,"New York, NY",https://www.glassdoor.com/partner/jobListing.htm?pos=407&ao=133063&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_892c2076&cb=1528288981528&jobListingId=2564291608,0.0,06-11-2018,No,,1.0,8.0
Vice President of Data Science & Marketplace Analytics,Rover.com,"Seattle, WA",https://www.glassdoor.com/partner/jobListing.htm?pos=404&ao=278123&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bb10c117&cb=1528288968840&jobListingId=2637043821,0.0,06-11-2018,No,,1.0,8.0
"Jr. Data Analyst (Data Analytics, Data Science, Google Analytics, etc.)","Techlink, Inc.","New York, NY",https://www.glassdoor.com/partner/jobListing.htm?pos=403&ao=83255&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f5e5d8d8&cb=1528288965526&jobListingId=2794910731,0.0,06-11-2018,No,,1.0,8.0
Data Science Engineer (Data Scientist),Plume,"Palo Alto, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=402&ao=273847&tgt=APPLY_START&s=58&guid=00000163d51ea64eaf91290da6efac55&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6b8139b6&cb=1528288961937&jobListingId=2589425906,0.0,06-11-2018,No,,1.0,8.0
Entry Level - Data Scientist and Cognitive Engineer,State Street Corporation,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=329&ao=133205&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_28d03349&cb=1528288939751&jobListingId=2666115520,0.0,06-11-2018,No,,1.0,8.0
Data Science User Experience Specialist,L.A. Care Health Plan,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=328&ao=258625&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_376ec580&cb=1528288936946&jobListingId=2744500421,0.0,06-11-2018,No,,1.0,8.0
"Data Science Manager, Analytics (Ads)",Facebook,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=321&ao=343912&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_137802f9&cb=1528288910165&jobListingId=2707309988,0.0,06-11-2018,No,,1.0,8.0
Environmental Data Manager/Data Scientist (Entry Level),"ERM-West, Inc.","Portland, OR",https://www.glassdoor.com/partner/jobListing.htm?pos=318&ao=173354&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_903c8931&cb=1528288895162&jobListingId=2800422587,0.0,06-11-2018,No,,1.0,8.0
Python API Developer - Applied Data Science,Esri,"Redlands, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=177702&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1ef432b3&cb=1528288880715&jobListingId=2693187671,0.0,06-11-2018,No,,1.0,8.0
Data Science Intern,Castlight Health,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=270472&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2217a72c&cb=1528288877787&jobListingId=2725440458,0.0,06-11-2018,No,,1.0,8.0
"Director, Data Science",ZestFinance,"Los Angeles, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=312&ao=268031&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9a115a0c&cb=1528288874239&jobListingId=2641700953,0.0,06-11-2018,No,,1.0,8.0
Software Engineer - Data Science (Apache Spark),Hortonworks,"Santa Clara, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=310&ao=241256&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_14d2c2ae&cb=1528288864303&jobListingId=2796525884,0.0,06-11-2018,No,,1.0,8.0
Entry Level Data Scientist,Labatt Food Service,"San Antonio, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=4120&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3866af2e&cb=1528288840762&jobListingId=2695903535,0.0,06-11-2018,No,,1.0,8.0
"Data Science Manager, SMB",Facebook,"Menlo Park, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=343918&s=58&guid=00000163d51c96b5bdbea4093afeadbf&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1f9b5e62&cb=1528288835689&jobListingId=2699635155,0.0,06-11-2018,No,,1.0,8.0
CONSULTANTÃ¢ÂÂ DATA SCIENCE GROUP,Opinion Dynamics,"San Francisco, CA",https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=285018&s=58&guid=00000163d51a9822a1bbbabb95e53487&src=GD_JOB_VIEW&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6e9e3b01&cb=1528288804048&jobListingId=2606089945,0.0,06-11-2018,No,,1.0,8.0
