company,location,position,time
Clarity Insights,"San Francisco, CA",Data Analyst - Consultant,15
SapientNitro,"San Francisco, CA","Director, Data Science and Analytics",6
Google,"San Bruno, CA","Product Analyst, Data Science",8
BeyondCurious,"Los Angeles, CA",Director of Data Science & Analytics,8
Capital Games,"Redwood City, CA","Senior Manager, Data Science",7
Software Technology Inc,"San Diego, CA","Scientist 2, Data Science",23
DocuSign,"San Francisco, CA","Director, Product Data Science",9
UC San Francisco,"San Francisco, CA",Computational and Data Science Research Specialist III,
Domino Data Lab,"San Francisco, CA",Principal Front End Engineer,23
Hulu,"Santa Monica, CA","Director, Data Science",7
Mystery Science,"San Francisco, CA",Data Scientist,29
Collective Health,"San Francisco, CA",Data Science Engineer,22
Autolist,"San Francisco, CA",Data Scientist,
Facebook,"Menlo Park, CA","Director, Infrastructure Data Science",6
Cisco,"San Jose, CA","Data Science, Technical Lead",4
Apple Inc.,"Cupertino, CA",Data Scientist,
Samba TV,"San Francisco, CA",Manager of Data Science,9
Coffee Meets Bagel,"San Francisco, CA",Senior Data Scientist,
Alignment Healthcare,"Orange, CA","Director, Data Science",6
Match Relevant,"Newport Beach, CA",Director of Data Science,5
Splunk,"San Jose, CA","Senior Manager, Security Innovation&Data Science",
Albertsons Companies,"Pleasanton, CA",Data Science Senior Program Manager,
Domino Data Lab,"San Francisco, CA",Senior Software Engineer,
Tenable,"Los Angeles, CA",Technical Product Manager - Data Science,19
AXS,"Los Angeles, CA",Sr Director of Data Science,4
Rang Technologies,"Pasadena, CA",Science Data Processing Engineer,6
Capital One,"San Francisco, CA","Senior Associate, Data Science",5
SPIRE (California),"San Francisco, CA",Data Science Engineer,14
Shipt,"San Francisco, CA",Director of Data Science,
"Health Services Advisory Group, Inc.","Los Angeles, CA","Analyst I, Data Science",12
Udacity,"San Francisco, CA",Data Science Instructor,7
Walt Disney Company,"Burbank, CA",Data Analyst Internship,7
ofo,"San Francisco, CA",Data Science Analyst,
TrueCar,"Santa Monica, CA",Data Scientist,
Sojern,"San Francisco, CA",Lead Data Science Engineer,10
University of California Berkeley,"Berkeley, CA",Lecturer Pool - Data Science - College of Letters and Science,7
Booz Allen Hamilton Inc.,"San Diego, CA",Data Scientist,5
Roku,"Los Gatos, CA",VP Data Science,
Aetna,"San Francisco, CA","ED, Data Science",
Lieberman Research Worldwide,"Los Angeles, CA",Data Scientist,
Twitch,"Irvine, CA",Data Analyst,
Splunk,"San Jose, CA","Senior Data Scientist, Security Innovation&Data Science (Remote ok)",
Electronic Arts,"Redwood City, CA","Senior Manager, Data Science",13
Arimo,"Mountain View, CA",Data Scientist,
Spirent Communications,"San Jose, CA",Data Analyst Intern,
Intuit,"San Francisco, CA",Data Science Recruiter,7
Nuna,"San Francisco, CA","Director, Data Science",20
Intuit,"Mountain View, CA",Data Science Leader,8
BuzzFeed,"Los Angeles, CA",Data Science Manager,
Fair Trade USA,"Oakland, CA",Director of Data Science,13
Udemy,"San Francisco, CA",Data Science Manager (Product and Marketing Decision Science),
Hinge Health,"San Francisco, CA",Data Science Engineer,
Strivector,"San Francisco, CA",REVENUE MODELING & DATA SCIENCE LEAD,5
UnitedHealth Group,"Irvine, CA",Manager of Data Science,0
Byton,"Santa Clara, CA",Data Science Engineer,16
Uber,"San Francisco, CA",Data Science Manager - Shared Rides,6
Xtime,"Redwood City, CA",Data Analytics Intern,5
Johnson & Johnson,"Irvine, CA","Principal Data Scientist, Data Sciences and Advanced Analytics R&D Technology",13
Syneos Health Commercial Solutions,"San Francisco, CA","San Francisco, CA- Derm Flex Pharmaceutical Sales Representative",
Airbnb,"San Francisco, CA","Data Science Manager - Analytics, Trips",
Lyra Health,"Burlingame, CA",Head of Data Science,8
Domino Data Lab,"San Francisco, CA",Creative Director,8
eBay Inc.,"San Francisco, CA",Head of Data Science & Engineering,12
PagerDuty,"San Francisco, CA","Data Science, User Analytics Manager",
iRobot Corporation,"Pasadena, CA",Deep Learning and Vision Robotic Scientist,7
Edmunds.com,"Santa Monica, CA",Senior Analyst/Data Scientist,
Syneos Health Commercial Solutions,"San Francisco, CA",Senior Consultant - Commercial Strategy and Planning,4
PTP,"Gold River, CA",Data Scientist,16
Mixpanel,"San Francisco, CA",Head of Machine Learning&Data Science,5
"Quora, Inc.","Mountain View, CA",Data Scientist,
ofo,"San Francisco, CA",Data Science Manager,
Syneos Health Commercial Solutions,"San Francisco, CA","Consultant, Commercial Strategy and Planning",
Wish,"San Francisco, CA",Software Engineer - Data Science,8
Clarity Insights,"San Francisco, CA",Engagement Manager - High Tech - Senior Principal,23
Intuit,"Mountain View, CA","Senior Manager of Data Science, Care",6
Evernote,"Redwood City, CA","Senior Software Engineer, Data Science Applications",
JBCConnect,"San Francisco, CA","Sourcer, Data Science",19
"Airbnb, Inc.","San Francisco, CA","Data Science Manager, Payments",17
eBay Inc.,"San Francisco, CA",Revenue Modeling & Data Science Lead,8
Grand Rounds,"San Francisco, CA",Data Science Manager,15
Tailored Management,"South San Francisco, CA",Data Scientist,
Tonal,"San Francisco, CA",Data Scientist,
Uber,"San Francisco, CA",Marketplace Forecasting Data Science Manager,6
