company,location,position,time
Twitter,"San Francisco, CA","Senior Analyst, Corporate FP&A (Metrics)",0
IQVIA Holdings Inc,"Los Angeles, CA",Oncology Nurse Educator - West or Southwest - LYA10619 -,
Credit Sesame,"San Francisco, CA",Senior Product Analytics Lead,
Caltech (California),"Pasadena, CA",Data Systems Engineer,1
realtor.com,"Santa Clara, CA",Principal Software Engineer - Platform,1
Enormous Enterprise LLC,"Fremont, CA",Watson Content Analytics Developer,7
Data Direct Networks,"Sunnyvale, CA",Account Executive - HPC & Life Sciences,5
Lawrence Berkeley Lab,"Berkeley, CA",Student Assistant,1
Veritas,"Mountain View, CA",Sr. Data Science Engineer,26
Bayside Solutions,"South San Francisco, CA","

                        Data Scientist
",
